Time	Velocity	Acceleration	Mass	Height
40	4621.215621308416	129.04832874175298	300261.34387351776	90769.00545929077
41	4747.866825484842	129.62319480221294	299138.814229249	95383.94659703106
42	4874.940085510651	130.20127539817534	298016.2845849802	100115.56673527035
43	5002.434936037501	130.7831744937884	296893.7549407115	104963.74327331471
44	5130.351346799206	131.36932286707366	295771.2252964427	109928.33812851223
45	5258.68959093835	131.96002521258526	294648.6956521739	115009.19792864408
46	5387.450150846921	132.55549646260698	293526.16600790515	120206.15410896433
47	5516.633652236381	133.1558890032116	292403.63636363635	125519.0229423136
48	5646.2408189012785	133.76131254500046	291281.1067193676	130947.60552315667
49	5776.272442291787	134.3718482892689	290158.5770750988	136491.68772047144
50	5906.7293614501295	134.98755880678243	289036.04743083	142151.0401099374
51	6037.612450050427	135.608494786596	287913.5177865613	147925.41789258286
52	6168.922608212911	136.2346995591791	286790.9881422925	153814.5608046984
53	6300.660757468769	136.8662120746118	285668.4584980237	159818.19302218314
54	6432.827837768757	137.50306883218462	284545.92885375494	165936.0230613702
55	6565.424805796942	138.1453051131024	283423.39920948615	172167.7436776302
56	6698.4526341063165	138.79295575916035	282300.8695652174	178513.03176256167
57	6831.912310766092	139.44605566117647	281178.3399209486	184971.5482402616
58	6965.804839325161	140.10464006523134	280055.8102766798	191542.9379629714
59	7100.131238970663	140.76874476654078	278933.2806324111	198226.82960626972
60	7234.892544807921	141.43840623521885	277810.7509881423	205022.8355639074
61	7370.0898082176745	142.11366170146917	276688.22134387353	211930.55184233523
62	7505.724097264678	142.7945492170424	275565.69169960474	218949.5579549473
63	7641.796497142706	143.48110770308534	274443.16205533594	226079.41681604716
64	7778.308110647568	144.1733769903732	273320.6324110672	233319.6746345343
65	7915.260058673488	144.8713978554193	272198.1027667984	240669.8608073031
66	8052.653480730472	145.57521205446923	271075.57312252966	248129.48781234268
67	8190.489535481506	146.28486235651934	269953.04347826086	255698.05110152456
68	8328.769401299116	147.00039257599875	268830.51383399207	263375.028993063
69	8467.49427684126	147.72184760547162	267707.9841897233	271159.88256363245
70	8606.66538164673	148.4492734485573	266585.45454545453	279052.0555401246
71	8746.283956750292	149.1827172531804	265462.9249011858	287050.9741910288
72	8886.351265318011	149.92222734521505	264340.395256917	295156.0472174165
73	9026.868593303072	150.66785326256314	263217.8656126482	303366.6656435112
74	9167.837250122575	151.4196457896945	262095.33596837946	311682.2027068247
75	9309.258569355738	152.17765699266837	260972.80632411066	320102.01374783856
76	9451.13390946395	152.94194025465632	259850.27667984192	328625.43609921075
77	9593.464654533163	153.71255031198163	258727.74703557312	337251.78897448466
78	9736.2522150391	154.48954329069448	257605.21739130435	345980.37335627864
79	9879.498028635784	155.27297674369868	256482.68774703558	354810.4718839325
80	10023.20356096789	156.06290968844996	255360.15810276679	363741.34874058684
81	10167.370306507453	156.85940264524453	254237.62845849802	372772.24953967024
82	10311.999789415482	157.6625176761181	253115.09881422925	381902.4012107685
83	10457.093564429006	158.47231842437756	251992.56916996048	391131.0118848488
84	10602.653217774157	159.28887015478747	250870.0395256917	400457.270778812
85	10748.680368105865	160.1122397944353	249747.5098814229	409880.34807934344
86	10895.176667474761	160.94249597430047	248624.98023715414	419399.3948260335
87	11042.143802321933	161.7797090715532	247502.45059288538	429013.5427937368
88	11189.58349450216	162.62395125261133	246379.9209486166	438721.9043741386
89	11337.497502336304	163.4752965169828	245257.39130434784	448523.572456496
90	11485.887621693537	164.33382074192548	244134.86166007904	458417.62030751957
91	11634.755687104096	165.1996017279547	243012.33201581027	468403.101450361
92	11784.103572903336	166.0727192452319	241889.8023715415	478479.0495426705
93	11933.933194407795	166.95325508086935	240767.2727272727	488644.4782536865
94	12084.246509124056	167.84129308718659	239644.74308300397	498898.38114031963
95	12235.045517991255	168.7369192309561	238522.21343873517	509239.7315221904
96	12386.332266658002	169.64022164367822	237399.6837944664	519667.48235558014
97	12538.108846794634	170.5512906729251	236277.15415019763	530180.5661062524
98	12690.377397441649	171.47021893479814	235154.62450592883	540777.8946211005
99	12843.140106395293	172.3971013675418	234032.0948616601	551458.358998577
100	12996.399211631207	173.33203528636128	232909.5652173913	562220.829457857
101	13150.15700276716	174.27512043949207	231787.03557312253	573064.1552066868
102	13304.41582256588	175.22645906557207	230664.50592885376	583987.1643078703
103	13459.178068479041	176.18615595236864	229541.97628458496	594988.6635443374
104	13614.446194233547	177.15431849691498	228419.44664031622	606067.4382827444
105	13770.222711461198	178.13105676711342	227296.91699604742	617222.2523355505
