Time	ax	ay	vx	vy	Height	Mass	Density
50	70.24545418773694	115.2701921511936	1691.5029651948162	5659.352389465972	142151.0401099374	289036.04743083	2.2024248130515613e-07
51	71.82494540332176	115.0253931794892	1763.327910598138	5774.377782645462	147925.41789258286	287913.5177865613	1.18963300318606e-07
52	73.40884430157598	114.76512947009108	1836.736754899714	5889.1429121155525	153814.5608046984	286790.9881422925	6.359963731385418e-08
53	74.99705970059932	114.48930536918003	1911.7338146003133	6003.632217484733	159818.19302218314	285668.4584980237	3.365832552729635e-08
54	76.5894996505316	114.19782170229747	1988.3233142508448	6117.830039187031	165936.0230613702	284545.92885375494	1.763576746869159e-08
55	78.18607151389348	113.89057707298042	2066.5093857647385	6231.720616260011	172167.7436776302	283423.39920948615	9.150170392490137e-09
56	79.7866820210047	113.56746867146124	2146.296067785743	6345.288084931472	178513.03176256167	282300.8695652174	4.701831972661739e-09
57	81.39123730806703	113.22839276842997	2227.68730509381	6458.516477699903	184971.5482402616	281178.3399209486	2.3932023421916693e-09
58	82.99964294347055	112.87324500989783	2310.6869480372807	6571.3897227098005	191542.9379629714	280055.8102766798	1.2068089204033658e-09
59	84.61180394626818	112.50192058852053	2395.2987519835488	6683.891643298321	198226.82960626972	278933.2806324111	6.030007245953792e-10
60	86.22762479954984	112.11431433936903	2481.5263767830984	6796.00595763769	205022.8355639074	277810.7509881423	2.986014168463181e-10
61	87.84700946055666	111.71032079014228	2569.373386243655	6907.716278427832	211930.55184233523	276688.22134387353	1.4656695580568294e-10
62	89.46986136875027	111.28983418423694	2658.8432476124053	7019.006112612068	218949.5579549473	275565.69169960474	7.132254950502575e-11
63	91.09608345262171	110.85274848779058	2749.939331065027	7129.858861099859	226079.41681604716	274443.16205533594	3.441450778149042e-11
64	92.72557813573547	110.39895738729551	2842.6649092007624	7240.2578184871545	233319.6746345343	273320.6324110672	1.646866407504237e-11
65	94.358247342317	109.92835428163795	2937.0231565430795	7350.186172768793	240669.8608073031	272198.1027667984	7.817291527720438e-12
66	95.9939925025712	109.44083227077539	3033.0171490456505	7459.627005039568	248129.48781234268	271075.57312252966	3.681418471738445e-12
67	97.63271455784306	108.93628414230285	3130.6498636034935	7568.5632891818705	255698.05110152456	269953.04347826086	1.720345078346895e-12
68	99.2743139656871	108.41460235660108	3229.9241775691808	7676.977891538471	263375.028993063	268830.51383399207	7.978821060671327e-13
69	100.91869070488171	107.875679030941	3330.8428682740623	7784.853570569412	271159.88256363245	267707.9841897233	3.6733862246192467e-13
70	102.56574428040999	107.31940592274114	3433.4086125544723	7892.172976492153	279052.0555401246	266585.45454545453	1.6791200095927254e-13
71	104.21537372841726	106.74567441207486	3537.6239862828897	7998.918650904227	287050.9741910288	265462.9249011858	7.621971274125979e-14
72	105.8674776211509	106.15437548346964	3643.4914639040408	8105.073026387697	295156.0472174165	264340.395256917	3.4364260296534e-14
73	107.52195407188418	105.54539970701182	3751.0134179759248	8210.618426094708	303366.6656435112	263217.8656126482	1.5391644103277807e-14
74	109.17870073982472	104.91863721875318	3860.1921187157495	8315.53706331346	311682.2027068247	262095.33596837946	6.849928010196024e-15
